success,rt,trial_type,trial_index,plugin_version,time_elapsed,random_id,condition,first_question_page,response,stimulus,item_type,question_order,file_name
TRUE,2402,fullscreen,0,null,3406,p0d5bav9bo7,moral,justin,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p0d5bav9bo7_1732220943706.csv
NA,8280,survey-html-form,1,2.0.0,11691,p0d5bav9bo7,moral,justin,"{""pid"":""1234"",""age"":""20"",""gender"":""Female""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p0d5bav9bo7_1732220943706.csv
NA,712,html-button-response,2,2.0.0,12405,p0d5bav9bo7,moral,justin,0,"<p>Welcome to the study! In this experiment, you will read about two individuals, Justin and Nate.</p>
                <p>After each story, you will be asked to evaluate their actions and character through a series of questions.</p> 
               <p>Please read the stories carefully and answer the questions to the best of your ability.</p>
               <p>Click 'Continue' to proceed.</p>",NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p0d5bav9bo7_1732220943706.csv
NA,730,html-button-response,3,2.0.0,13138,p0d5bav9bo7,moral,justin,0,"<p style='width:900px;margin: auto;'><b>Justin</b> and <b>Nate</b> were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars. Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each man considered whether he should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p> <br><br> <p style='width:900px;margin: auto;'> <b>Justin</b> saw his decision as an easy one and was <i> able to decide quickly. He did not steal the money </i> and instead left the wallet with Customer Service.</p> <br><br>  <p style='width:900px;margin: auto;'> In contrast, <b>Nate</b> saw his decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in his car, <i> he too decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p>",moral,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p0d5bav9bo7_1732220943706.csv
NA,5915,survey-likert,4,2.0.0,19056,p0d5bav9bo7,moral,justin,"{""manipulation_check_justin"":5,""manipulation_check_nate"":5}",NA,NA,"[0,1]",/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p0d5bav9bo7_1732220943706.csv
NA,9563,survey-likert,5,2.0.0,28623,p0d5bav9bo7,moral,justin,"{""justin-far"":6,""justin-standards"":6,""justin-certain"":6,""justin-reservations"":6,""justin-conflicted"":6,""justin-deep"":6,""justin-principles"":6,""justin-calm"":6,""justin-upset"":6}",NA,NA,"[3,6,2,1,0,5,4,7,8]",/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p0d5bav9bo7_1732220943706.csv
NA,9381,survey-likert,6,2.0.0,38008,p0d5bav9bo7,moral,justin,"{""nate-far"":6,""nate-certain"":6,""nate-standards"":6,""nate-conflicted"":6,""nate-calm"":6,""nate-principles"":6,""nate-deep"":6,""nate-upset"":6,""nate-reservations"":6}",NA,NA,"[3,2,6,0,7,4,5,8,1]",/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p0d5bav9bo7_1732220943706.csv
NA,4322,survey-text,7,null,42338,p0d5bav9bo7,moral,justin,"{""Q0"":"""",""Q1"":""""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p0d5bav9bo7_1732220943706.csv
TRUE,34596,fullscreen,0,null,35604,p0g1u7gdoco,moral,nate,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p0g1u7gdoco_1732224051607.csv
NA,7914,survey-html-form,1,2.0.0,43521,p0g1u7gdoco,moral,nate,"{""pid"":""cheetah"",""age"":""24"",""gender"":""Male""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p0g1u7gdoco_1732224051607.csv
NA,5658,html-button-response,2,2.0.0,49182,p0g1u7gdoco,moral,nate,0,"<p>Welcome to the study! In this experiment, you will read about two individuals, Justin and Nate.</p>
                <p>After each story, you will be asked to evaluate their actions and character through a series of questions.</p> 
               <p>Please read the stories carefully and answer the questions to the best of your ability.</p>
               <p>Click 'Continue' to proceed.</p>",NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p0g1u7gdoco_1732224051607.csv
NA,24896,html-button-response,3,2.0.0,74080,p0g1u7gdoco,moral,nate,0,"<p style='width:900px;margin: auto;'><b>Justin</b> and <b>Nate</b> were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars. Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each man considered whether he should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p> <br><br> <p style='width:900px;margin: auto;'> <b>Justin</b> saw his decision as an easy one and was <i> able to decide quickly. He did not steal the money </i> and instead left the wallet with Customer Service.</p> <br><br>  <p style='width:900px;margin: auto;'> In contrast, <b>Nate</b> saw his decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in his car, <i> he too decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p>",moral,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p0g1u7gdoco_1732224051607.csv
NA,8330,survey-likert,4,2.0.0,82414,p0g1u7gdoco,moral,nate,"{""manipulation_check_nate"":6,""manipulation_check_justin"":3}",NA,NA,"[1,0]",/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p0g1u7gdoco_1732224051607.csv
NA,59539,survey-likert,5,2.0.0,141961,p0g1u7gdoco,moral,nate,"{""nate-standards"":5,""nate-conflicted"":6,""nate-principles"":3,""nate-deep"":4,""nate-upset"":4,""nate-reservations"":4,""nate-far"":2,""nate-certain"":1,""nate-calm"":6}",NA,NA,"[6,0,4,5,8,1,3,2,7]",/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p0g1u7gdoco_1732224051607.csv
NA,45151,survey-likert,6,2.0.0,187117,p0g1u7gdoco,moral,nate,"{""justin-standards"":5,""justin-far"":6,""justin-principles"":6,""justin-certain"":1,""justin-reservations"":6,""justin-upset"":1,""justin-calm"":6,""justin-conflicted"":1,""justin-deep"":6}",NA,NA,"[6,3,4,2,1,8,7,0,5]",/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p0g1u7gdoco_1732224051607.csv
